id,language,tweet is reply,number of hashtags in tweet,number of cashtags in tweet,number of mentions in tweet,number of urls in tweet,number of photos in tweet,number of videos in tweet,presence of quoted tweet in tweet,number of replies to tweet,number of retweets to tweet,number of likes to tweet,number of words in tweet,number of special characters (ASCII) in tweet,number of non-ASCII characters in tweet,number of uppercase characters in tweet,number of digits in tweet,language in tweet is english,polarity of tweet,subjectivity of tweet,bot,number of tweets
836512454,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,6.0,1.0,0.33,1.0,0.0,1.0,0.0,0.0,1,3
83441816,en,0.42,0.02,0.0,0.12,0.03,0.21,0.21,0.21,0.21,0.15,0.97,6.98,1.92,0.6,2.66,0.27,0.89,0.02,0.23,1,97
1307184462,en,0.0,2.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12,0.12,11.38,4.75,1.25,2.12,1.0,0.88,0.13,0.32,0,8
797002978028912640,en,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.5,3.0,1.0,1.0,-0.25,0.45,1,2
555741045,en,0.86,0.06,0.0,0.0,0.18,0.08,0.05,0.08,0.34,0.08,0.74,20.09,6.54,1.55,8.37,1.48,0.91,-0.0,0.38,1,65
2391736411,en,0.85,0.37,0.49,0.02,0.08,0.44,0.47,0.0,0.43,0.43,1.21,16.17,9.21,0.86,13.03,5.34,0.87,0.07,0.23,0,2150
849319340818169856,en,0.13,0.03,1.09,0.01,0.64,1.12,0.59,0.04,0.42,0.99,5.3,14.8,5.12,0.18,8.02,1.66,0.92,0.05,0.22,0,901
863370324,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.25,0.0,1.5,0.75,0.75,0.0,0.25,1,4
2963513912,en,0.28,0.0,0.0,0.03,0.0,0.16,0.16,0.19,0.31,0.56,1.72,7.75,0.69,1.31,1.06,0.06,0.78,-0.05,0.37,0,32
1040640698,en,0.25,0.02,0.54,0.07,0.03,0.27,0.26,0.09,1.63,0.51,6.81,11.66,2.99,0.28,4.78,1.51,0.85,0.05,0.28,0,1672
24005213,en,0.04,1.79,0.0,0.85,0.71,0.29,0.29,0.08,0.06,0.45,0.71,19.48,6.48,0.15,14.42,2.47,0.99,0.18,0.31,0,163
492558482,en,0.43,0.15,0.0,0.25,0.32,0.37,0.35,0.0,0.15,0.12,2.2,14.31,2.69,0.24,3.86,1.32,0.91,0.11,0.28,0,325
68111336,en,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.6,3.6,0.8,0.8,-0.03,0.37,0,5
2681753139,en,0.38,0.0,0.0,0.01,0.01,0.0,0.0,0.3,0.28,0.35,1.33,17.13,0.89,0.94,1.82,0.35,0.85,0.0,0.39,0,79
2295419047,en,0.11,0.0,0.0,0.01,0.0,0.05,0.01,0.04,0.06,0.29,0.77,8.47,0.72,0.83,1.77,0.49,0.88,0.08,0.4,0,83
705247180454375427,en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,7.0,0.0,1.0,0.0,0.4,1,2
613604194,en,0.12,0.5,0.0,0.5,1.25,0.0,0.0,0.25,0.0,0.12,0.12,8.88,2.38,0.0,4.12,1.12,1.0,0.3,0.2,0,8
20776753,en,0.5,1.5,0.0,0.0,0.25,0.25,0.25,0.0,0.5,0.0,1.5,12.0,4.25,1.0,4.5,2.75,0.75,0.04,0.16,0,4
497354038,en,0.19,0.03,0.0,0.29,0.04,0.02,0.02,0.66,0.12,0.1,0.61,37.43,12.28,0.03,13.6,0.85,0.99,0.09,0.49,0,255
75489677,en,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,6.0,0.0,1.0,0.18,0.5,1,1
298901356,en,0.03,0.92,0.0,0.62,0.59,0.03,0.03,0.35,0.0,0.03,0.32,16.35,3.92,0.32,5.62,0.16,0.97,0.05,0.28,1,37
593813785,en,0.55,3.46,0.33,0.75,0.26,0.0,0.0,0.33,0.61,0.35,0.87,25.96,10.42,0.19,12.61,1.35,0.96,0.07,0.3,0,3795
29157032,en,1.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.57,11.57,2.57,0.0,2.57,1.86,1.0,-0.16,0.22,0,7
702748701844897792,en,0.41,0.0,0.0,0.05,0.05,0.0,0.0,0.05,0.08,0.78,5.05,5.65,1.19,0.73,0.76,0.41,0.81,0.01,0.17,0,37
38417328,en,0.03,0.05,0.0,0.02,1.54,0.0,0.0,0.0,0.02,0.01,0.05,12.74,2.73,0.15,10.72,0.38,0.97,0.05,0.2,0,419
819861268223954945,en,0.0,0.14,0.0,0.0,0.86,0.14,0.14,0.0,0.0,0.0,0.0,5.14,0.57,0.0,1.29,7.14,1.0,0.17,0.49,1,7
69921028,en,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.33,7.0,1.67,0.33,4.33,0.0,1.0,0.0,0.0,0,3
37594225,en,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,4.5,0.0,7.0,0.0,1.0,0.18,0.59,1,2
99352713,en,0.29,0.13,0.0,0.1,0.06,0.02,0.02,0.24,0.22,0.02,1.05,13.66,2.98,0.74,4.15,0.38,0.93,0.04,0.34,0,100
68220362,en,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6.0,0.0,5.8,4.8,0.8,-0.06,0.26,1,5
4610050879,en,0.4,0.8,0.0,0.0,0.0,0.4,0.4,0.0,0.2,4.8,52.8,6.2,3.0,0.6,3.2,0.4,0.8,0.08,0.32,0,5
2715194757,en,0.43,0.04,0.0,0.04,0.0,0.04,0.13,0.35,0.26,0.22,2.96,6.3,1.13,0.52,2.22,0.7,0.87,-0.03,0.27,1,23
229095109,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,8.0,0.0,8.0,4.0,1.0,0.02,0.55,0,1
542659553,en,0.0,0.0,0.0,0.17,0.5,0.17,0.17,0.33,0.17,0.17,3.5,5.83,2.17,2.0,4.67,0.67,0.5,0.05,0.13,1,6
755757579524079616,en,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,9.0,5.0,0.0,6.0,0.0,1.0,0.0,0.0,1,6
3020740472,en,0.26,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.16,0.11,0.86,6.97,0.7,0.47,2.1,0.17,0.74,0.06,0.29,0,160
869730702,en,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,26.57,5.02,0.74,15.56,3.54,1.0,0.13,0.38,0,61
386350561,en,0.0,0.0,0.0,2.0,0.33,0.0,0.0,0.33,0.0,1.0,0.67,23.33,4.67,0.0,13.0,0.0,1.0,0.0,0.0,0,3
329959622,en,0.3,0.15,0.0,0.05,0.0,0.0,0.0,0.47,0.35,0.3,2.0,7.58,1.1,1.4,5.5,0.15,0.78,0.11,0.3,1,40
122675191,en,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.2,0.0,0.2,18.6,4.6,9.0,7.8,0.4,0.0,0.0,0.05,1,5
28191799,en,0.71,0.04,0.43,0.01,0.0,0.0,0.0,0.2,0.21,0.01,0.25,14.65,4.49,0.81,7.27,1.91,0.87,0.1,0.24,0,75
334131678,en,0.5,0.17,0.0,0.08,0.0,0.08,0.08,0.25,0.42,0.0,0.92,8.0,1.83,0.75,2.5,0.5,1.0,0.05,0.11,0,12
356488664,en,0.69,0.01,0.0,0.04,0.03,0.2,0.16,0.07,0.33,0.21,1.66,7.59,1.8,1.06,3.6,0.5,0.86,0.05,0.27,0,148
606962973,en,0.25,0.0,0.0,0.0,0.14,0.0,0.0,0.36,0.2,0.24,0.47,7.26,1.7,0.96,1.69,0.19,0.75,0.07,0.28,0,706
109380957,en,0.54,0.0,0.0,0.36,0.11,0.04,0.04,0.39,0.14,0.14,2.21,7.89,4.18,0.11,3.89,0.89,0.86,0.12,0.27,0,28
568543984,en,0.2,0.2,0.0,1.0,0.2,0.0,0.0,0.6,0.2,1.0,1.6,21.4,2.8,2.0,5.6,0.0,0.4,0.04,0.04,0,5
707743584359882753,en,0.62,0.63,1.0,0.08,0.4,0.3,0.3,0.0,0.45,0.68,1.77,21.88,9.04,0.29,14.57,5.36,0.96,0.1,0.3,0,602
42811656,en,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,4.0,0.0,1.0,0.0,1.0,0.25,0.33,0,2
800767481975422980,en,0.57,0.05,0.0,0.03,0.05,0.19,0.19,0.11,0.16,0.19,1.89,5.76,1.57,0.62,3.14,0.05,0.7,0.15,0.24,0,37
817583644080476161,en,0.0,0.33,0.0,0.0,0.67,0.33,0.33,0.5,0.0,0.0,0.17,3.67,0.67,0.0,1.33,0.17,0.83,-0.08,0.17,1,6
864933157,en,0.75,0.04,0.0,0.02,0.02,0.19,0.16,0.04,1.8,22.6,73.79,9.93,1.56,0.58,5.52,0.33,0.77,0.07,0.3,0,2080
2544688503,en,0.33,0.03,0.0,0.0,0.03,0.17,0.07,0.0,0.17,0.23,1.67,22.93,5.07,0.1,6.57,0.47,0.97,0.05,0.4,1,30
823749000,en,0.32,0.01,0.0,0.02,0.0,0.06,0.06,0.06,0.21,0.19,1.05,6.65,0.8,0.51,3.05,0.24,0.74,0.03,0.32,0,85
49197486,en,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,8.0,3.0,0.0,6.5,0.0,1.0,0.0,0.0,0,2
105928656,en,0.06,0.08,0.0,0.02,0.03,0.04,0.04,0.0,0.04,0.04,0.15,8.14,1.82,0.62,3.01,0.23,0.7,0.04,0.26,0,142
409716395,en,0.12,0.01,0.0,0.07,0.03,0.15,0.12,0.4,0.16,0.5,0.96,8.02,1.97,0.58,2.4,0.19,0.83,0.04,0.22,0,363
719562298788958210,en,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.0,0.36,34.93,4.71,0.0,9.64,0.71,1.0,0.02,0.21,1,14
2210443507,en,0.19,0.09,0.0,0.06,0.1,0.06,0.07,0.27,0.2,0.44,1.03,7.76,1.16,2.21,1.56,0.27,0.8,0.05,0.28,0,70
90007524,en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,8.67,4.33,0.0,4.33,1.33,1.0,-0.07,0.46,0,3
328701243,en,0.33,8.33,0.33,0.0,0.67,0.67,0.67,0.0,0.0,3.67,3.33,29.33,14.0,0.33,15.33,5.0,1.0,0.64,0.69,0,3
60134137,en,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,2.0,21.0,4.0,1.0,0.0,0.0,1,1
514805475,en,0.0,4.43,0.0,0.0,0.71,0.14,0.14,0.0,0.0,0.0,0.0,19.0,9.43,1.86,6.57,2.57,0.86,0.06,0.37,1,7
2260956925,en,0.03,2.23,0.48,0.7,0.99,0.03,0.03,0.02,0.03,0.26,0.61,23.96,7.07,0.45,10.39,1.7,1.0,0.1,0.34,0,115
37355062,en,0.15,6.77,1.31,0.23,1.0,0.92,0.92,0.0,0.85,3.46,3.92,38.15,18.62,0.15,25.62,10.08,1.0,0.32,0.56,0,13
4083781,en,0.99,0.02,0.01,0.01,0.05,0.0,0.0,0.0,0.2,0.09,1.16,13.49,3.96,0.36,4.59,0.22,0.95,0.07,0.32,1,133
136346296,en,0.36,0.74,0.0,0.03,0.15,0.05,0.05,0.36,0.31,0.28,0.9,13.9,3.97,0.28,4.05,0.67,0.95,0.07,0.24,0,39
305153947,en,0.75,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,1.75,12.5,4.0,1.25,3.25,1.25,1.0,-0.01,0.07,0,4
70958568,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,4.0,1.0,1.0,-0.12,0.12,0,1
8411032,en,0.9,0.22,0.0,0.18,0.01,0.37,0.33,0.0,0.26,0.09,2.04,10.23,3.96,0.7,4.5,0.33,0.87,0.06,0.22,0,672
754002958627594241,en,0.54,0.08,0.0,0.08,0.0,0.15,0.15,0.08,0.15,0.0,1.31,15.85,3.31,0.92,3.85,2.23,0.85,0.15,0.28,0,13
28014220,en,0.32,1.36,0.0,0.2,0.38,0.08,0.14,0.28,0.02,0.42,1.22,5.0,2.62,1.48,4.28,1.08,0.9,0.06,0.1,0,50
61932015,en,0.58,0.16,0.0,0.1,0.06,0.0,0.0,0.26,0.36,1.2,2.86,16.8,5.2,0.03,6.08,2.71,0.93,0.09,0.34,0,435
18465511,en,0.67,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,0.0,0.0,6.67,2.67,0.0,3.17,3.33,0.83,0.1,0.17,0,6
2295216864,en,0.15,0.0,0.0,0.0,0.0,0.04,0.02,0.39,0.15,0.37,2.32,6.12,0.51,0.98,0.85,0.07,0.87,0.08,0.21,0,94
267194580,en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,16.25,4.0,2.75,7.5,0.0,1.0,0.3,0.5,0,4
300446223,en,0.41,0.0,0.0,0.0,0.18,0.24,0.18,0.18,0.12,0.06,0.82,16.35,3.94,0.41,4.12,0.35,0.94,0.16,0.38,0,17
148501787,en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1,1
860766289,en,0.57,0.05,0.14,0.08,0.02,0.14,0.13,0.1,0.28,0.02,0.5,16.44,2.78,0.45,4.99,1.14,0.91,0.11,0.32,0,180
187574893,en,0.56,0.08,0.0,0.08,0.0,0.02,0.02,0.16,0.39,0.02,0.91,20.47,3.17,0.14,5.24,0.77,0.97,0.09,0.49,0,87
502194692,en,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,6.5,1.0,1.5,2.0,0.0,1.0,0.0,0.0,1,2
709289312,en,0.06,0.0,0.0,0.0,0.0,0.04,0.02,0.04,0.08,0.08,2.6,10.44,0.5,0.75,0.92,0.12,0.85,0.02,0.41,0,52
1551743478,en,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,21.5,21.5,0.0,36.5,29.0,1.0,0.1,0.1,0,2
412773006,en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1,1
127891805,en,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67,6.0,0.0,8.0,0.0,1.0,0.0,0.0,0,3
237981845,en,1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.05,0.04,0.47,11.65,2.83,0.14,3.87,0.89,0.8,0.05,0.36,0,762
2687872824,en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,6.0,0.0,1.0,0.0,0.0,1,1
399767016,en,0.0,0.0,0.0,0.2,0.2,2.0,0.8,0.0,0.6,2.0,8.0,20.6,4.6,0.0,5.6,6.0,1.0,0.18,0.4,0,5
30966199,en,0.83,0.03,0.0,0.04,0.06,0.14,0.14,0.08,0.45,0.3,1.64,16.02,3.58,2.18,5.19,0.27,0.95,0.08,0.29,0,98
125543774,en,0.27,0.01,0.0,0.03,0.01,0.06,0.08,0.37,0.37,0.41,1.2,12.08,1.57,0.78,3.57,0.42,0.91,0.04,0.29,0,1635
763277954306551808,en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,1.33,3.33,1.33,1.33,0.67,0.0,0.33,0.03,0.33,0,3
171353862,en,0.78,0.13,0.0,0.16,0.26,0.05,0.05,0.0,0.13,0.1,0.58,18.86,4.6,0.82,5.87,0.6,0.92,0.14,0.4,0,98
30319812,en,0.74,0.05,0.0,0.0,0.05,0.16,0.16,0.0,0.58,0.0,0.63,17.53,4.74,0.32,3.89,0.53,0.95,0.27,0.45,0,19
716737614771044352,en,0.0,1.94,1.05,0.0,1.0,0.96,0.96,0.0,0.0,0.0,0.03,10.55,8.39,0.0,5.5,14.2,0.76,0.07,0.28,0,20078
215745990,en,0.84,0.03,0.03,0.08,0.05,0.12,0.12,0.05,0.25,0.02,0.87,10.57,3.8,0.27,4.07,0.99,0.87,0.09,0.21,0,100
322590458,en,0.0,0.0,0.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.02,10.38,3.31,0.25,8.24,1.65,0.99,0.0,0.18,0,613
2324818070,en,0.35,0.01,0.0,0.01,0.0,0.04,0.05,0.03,0.31,0.22,1.21,7.4,0.79,1.23,3.49,0.18,0.8,0.04,0.24,0,598
841920311985618944,en,0.45,0.11,0.08,0.05,0.08,0.18,0.18,0.13,0.16,0.11,1.08,13.61,7.55,0.16,7.58,9.11,0.71,0.04,0.17,0,38
106674074,en,0.03,0.05,0.0,0.02,0.96,0.02,0.02,0.0,0.01,0.0,0.08,11.56,5.62,0.92,3.87,0.63,0.91,0.1,0.27,0,213
485301692,en,0.31,0.03,0.0,0.03,0.01,0.07,0.05,0.22,0.07,0.46,1.78,8.32,1.04,1.22,2.41,0.1,0.82,0.01,0.28,0,160
44141463,en,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,0.0,1.0,0.0,1.0,-0.13,0.79,1,1
311626751,en,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1,1
3249847152,en,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.02,0.0,19.5,5.25,0.0,3.0,0.0,1.0,0.51,0.65,0,56
1210752332,en,0.39,0.02,0.0,0.04,0.01,0.08,0.08,0.43,0.27,0.1,1.12,8.12,1.58,0.72,4.93,0.61,0.75,0.02,0.28,0,755
715670167,en,0.48,0.01,0.0,0.01,0.01,0.07,0.07,0.18,0.21,0.18,0.63,7.47,1.33,0.62,3.66,0.11,0.75,0.04,0.27,0,2456
31283509,en,0.62,0.06,0.0,0.05,0.03,0.03,0.03,0.04,0.32,0.05,0.51,11.7,2.97,1.3,3.67,0.61,0.87,0.14,0.36,0,203
118183600,en,0.7,0.03,0.0,0.03,0.0,0.07,0.07,0.07,0.28,0.0,0.4,9.7,1.57,0.62,5.78,0.07,0.8,0.16,0.32,0,40
2772463903,en,0.77,0.0,0.0,0.0,0.0,0.38,0.23,0.0,0.0,0.08,0.31,11.54,2.69,0.38,4.62,0.23,0.85,0.16,0.33,0,13
1263385844,en,0.11,0.5,0.0,0.04,0.29,0.02,0.02,0.02,0.07,0.57,1.36,6.05,1.41,1.32,2.34,0.57,0.89,-0.02,0.16,0,56
312298631,en,0.45,0.0,0.0,0.06,0.06,0.01,0.01,0.12,0.31,0.19,1.15,8.76,1.5,1.35,2.31,0.37,0.81,0.1,0.31,0,309
1106460182,en,0.55,0.05,0.0,0.16,0.08,0.0,0.0,0.33,0.12,0.11,0.8,9.55,2.33,0.16,4.9,0.59,0.8,0.05,0.25,0,83
322156054,en,0.35,0.01,0.0,0.02,0.01,0.05,0.04,0.19,0.29,0.09,1.13,22.65,1.45,1.25,8.16,0.29,0.95,0.06,0.44,0,1106
571231081,en,0.31,0.0,0.0,0.04,0.43,0.06,0.09,0.09,0.16,0.52,1.33,10.57,2.26,0.86,3.98,0.29,0.91,0.11,0.29,0,141
22866584,en,0.44,0.08,0.0,0.05,0.1,0.22,0.16,0.01,0.05,0.15,0.93,15.09,4.0,0.19,5.61,0.59,0.91,0.05,0.34,0,239
2814630924,en,0.0,0.0,0.0,0.0,0.67,0.33,0.33,0.0,0.0,4.67,4.0,4.67,0.33,0.0,1.0,0.0,1.0,0.25,0.19,1,3
113786314,en,0.38,0.0,0.0,0.02,0.03,0.13,0.07,0.04,0.4,0.1,1.37,12.86,1.27,0.48,0.89,0.57,0.95,0.07,0.31,0,115
49819445,en,0.17,0.17,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.08,5.5,4.0,12.92,2.5,0.58,0.0,0.0,0.0,0,12
1416691074,en,0.08,0.06,0.0,0.02,0.0,0.01,0.01,0.58,0.07,0.66,3.04,10.4,1.63,2.8,4.31,0.32,0.89,0.16,0.35,0,102
248528866,en,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.17,0.83,19.28,1.89,72.83,1.22,1.61,0.0,0.02,0.04,0,18
2560094317,en,0.0,0.14,0.0,0.0,0.0,0.29,0.29,0.71,0.0,0.71,1.14,1.86,0.71,1.0,1.0,0.0,0.86,-0.14,0.24,0,7
712818969,en,0.52,0.0,0.0,0.06,0.0,0.0,0.0,0.21,0.33,0.09,2.67,7.97,1.52,0.18,2.48,0.94,0.73,0.08,0.23,0,33
108021761,en,0.01,0.31,0.01,0.0,0.96,0.77,0.76,0.03,0.08,0.83,1.36,11.65,3.69,0.46,10.37,1.27,0.95,0.06,0.25,0,1283
511473570,en,0.09,0.01,0.0,0.02,0.0,0.01,0.01,0.05,0.1,0.13,0.67,6.25,0.9,0.61,3.36,0.45,0.72,-0.05,0.25,0,467
19552414,en,0.21,0.39,1.6,0.24,0.59,0.14,0.14,0.07,0.15,0.15,0.51,20.04,5.84,0.4,12.55,2.93,0.99,0.1,0.3,0,202
786295304345690112,en,0.0,1.25,0.0,0.0,0.72,0.29,0.29,0.0,0.0,0.0,0.12,10.29,2.63,0.96,21.55,0.13,1.0,0.35,0.43,0,106
19695140,en,0.33,0.02,0.0,0.17,0.02,0.0,0.0,0.55,0.23,0.06,0.34,5.74,3.3,0.1,3.01,0.17,0.88,0.14,0.28,0,86
802301153866182656,en,0.94,0.02,0.0,0.04,0.01,0.45,0.45,0.0,0.1,0.04,0.82,4.64,2.74,1.51,6.96,0.23,0.78,-0.01,0.1,1,129
843706801,en,0.04,0.02,0.06,0.52,0.27,0.64,0.72,0.02,13.19,15.07,43.22,17.07,4.09,0.35,4.04,1.3,0.97,0.05,0.37,0,315
4900838982,en,0.59,0.02,0.0,0.0,0.0,0.14,0.16,0.18,0.2,0.22,2.86,6.04,2.39,0.71,2.39,1.24,0.71,0.04,0.27,0,49
171164646,en,0.77,0.38,0.31,0.15,0.0,0.31,0.15,0.0,0.23,0.08,0.38,11.62,3.54,0.15,3.92,0.38,1.0,0.04,0.26,0,13
