id,language,number of days between account creation and account labelling,presence of digits in name,presence of special characters (ASCII) in name,presence of non-ASCII characters in name,length of name,presence of digits in screen name,length of screen name,presence of url,number of followers,number of friends,number of listed,number of favourites,number of statuses,verified account,presence of banner,presence of default profile,presence of default profile image,number of urls in description,number of hashtags in description,number of cashtags in description,number of mentions in description,number of words in description,number of special characters (ASCII) in description,number of non-ASCII characters in description,number of uppercase characters in description,number of digits in description,language in description is english,polarity of description,subjectivity of description,bot
1860689335,en,2068,0,0,0,12,0,12,1,91,372,6,2114,3096,0,1,1,0,0,0,0,0,10,2,0,3,0,1,0.0,0.0,1
739645214491451395,en,849,0,0,1,5,0,9,0,137,110,1,5977,4197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
222533765,en,3086,0,0,0,6,0,7,0,216,1363,1,4871,8861,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0.25,0.33,0
265723826,en,2987,0,0,1,11,1,7,1,848,1187,1,11216,15291,0,1,0,0,0,3,0,1,14,10,5,49,2,0,0.0,0.0,0
630337519,en,1870,0,0,0,3,0,15,0,44,637,1,2478,2912,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1
842876819141513216,en,111,0,0,0,14,0,13,0,0,0,0,18,156,0,0,1,0,0,0,0,0,3,0,16,0,0,0,0.0,0.0,0
574657774,en,2564,0,0,0,14,1,13,0,109,134,2,2624,4634,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0.0,0.0,1
2697396931,en,1154,0,0,0,13,0,8,0,15,153,2,1339,1675,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
759100312321916929,en,1006,1,0,0,13,1,13,0,28,79,3,1371,1868,0,1,0,0,0,0,0,0,10,1,0,2,4,1,-0.5,0.5,1
125873781,en,2710,0,0,0,8,1,9,0,13,0,1,1165,1841,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
772527125417062402,en,298,0,0,0,13,0,14,0,0,0,0,82,142,0,0,1,0,0,0,0,0,14,2,0,2,0,1,0.0,0.0,0
1132658952,en,2298,0,0,0,12,0,10,0,244,904,7,4302,10016,0,1,1,0,0,0,0,0,12,3,0,4,1,1,-0.15,0.4,0
3438571754,en,1330,0,0,0,13,1,15,0,225,92,1,14820,1505,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0.0,0.0,0
37751238,en,3663,0,0,0,4,0,10,0,337,228,2,2960,13242,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0.0,0.0,0
795767664207687681,en,251,0,0,0,11,0,11,0,1,0,0,118,211,0,0,1,0,0,0,0,0,8,1,0,5,0,1,0.0,0.0,0
840661810571300867,en,505,0,0,0,7,0,13,0,19,8,0,930,1376,0,0,1,0,0,0,0,0,9,0,0,2,0,1,0.7,0.6,1
56265313,en,3461,0,0,0,20,0,11,1,349,94,7,2663,5966,0,1,0,0,0,0,0,0,25,4,0,5,0,1,0.75,0.57,1
881675804396187648,en,14,0,0,0,17,1,15,0,0,0,1,129,157,0,0,1,0,0,0,0,0,5,0,0,12,0,1,0.5,0.75,0
107934683,en,3400,0,0,0,13,0,9,0,151,725,9,6549,6064,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1
833931713998942209,en,815,0,0,0,7,1,13,0,176,290,0,26662,10277,0,1,1,0,0,0,0,0,5,3,1,1,0,0,0.0,0.0,0
30574352,en,3004,0,1,0,8,1,11,0,22,0,0,15,179,0,0,0,0,0,0,0,0,27,0,0,89,1,1,0.75,0.95,0
726112851040067584,en,482,0,0,0,18,0,11,0,17,93,0,1107,1518,0,1,1,0,0,2,0,1,5,7,0,4,1,1,0.0,0.0,1
448009084,en,2698,0,0,0,4,1,7,0,988,381,3,360,6431,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
95801115,en,2808,0,0,0,14,0,13,0,8,15,0,550,838,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
147799655,en,2648,0,0,1,3,0,10,0,27,0,1,1271,1922,0,0,1,0,0,0,0,0,4,0,32,0,0,0,0.0,0.0,1
286545384,en,2946,0,1,1,17,1,12,0,1000,407,8,56360,41914,0,1,0,0,0,0,0,0,11,0,6,28,0,1,0.0,0.0,0
45577805,en,3007,0,0,0,15,0,11,0,18,39,1,239,333,0,0,0,0,0,0,0,0,6,3,0,8,0,1,0.0,0.0,0
772187914134491136,en,299,0,0,0,12,0,12,0,0,0,0,96,224,0,0,1,0,0,0,0,0,16,2,0,1,0,1,0.42,0.58,0
448577528,en,2678,0,0,0,14,0,14,0,23,15,0,2096,3007,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0.0,0.0,1
31205928,en,3054,0,0,0,14,0,9,0,53,80,0,1146,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
2821601710,en,1678,0,0,0,9,1,5,0,147,566,2,10760,2671,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0.0,0.0,0
772419957783162880,en,298,0,0,0,17,1,15,0,1,0,0,44,132,0,0,1,0,0,0,0,0,20,6,0,13,0,1,0.0,0.0,0
765838109976190976,en,318,0,0,0,14,0,11,0,21,48,0,1332,1335,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0.0,0.0,1
3490311803,en,1356,0,0,0,12,0,12,0,723,1869,156,301,28686,0,0,0,1,0,0,0,1,18,12,0,19,0,1,-0.12,0.38,0
195932558,en,3109,0,0,0,6,0,10,1,1857,0,17,991,31675,0,1,0,0,0,0,0,1,6,2,1,4,0,1,1.0,1.0,0
328824222,en,2868,0,0,0,12,0,11,0,190,847,0,3642,6503,0,1,1,0,0,0,0,0,3,0,5,2,0,1,0.0,0.0,1
277812894,en,2332,0,0,0,3,0,11,0,166,0,1,4257,8924,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
836512454,en,1806,0,0,0,6,0,12,0,119,55,0,3089,11514,0,1,0,0,0,0,0,0,5,1,0,3,0,1,0.0,0.0,1
323226897,en,2253,0,0,0,15,0,12,0,92,0,2,2521,3544,0,0,1,0,0,0,0,0,14,2,0,0,0,1,0.0,0.0,1
862626097,en,1763,0,0,0,11,1,15,0,0,7,1,2244,2244,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1380263898,en,1961,0,0,0,17,1,13,0,14,40,0,2223,506,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
246859713,en,2382,0,0,0,5,0,9,0,9,0,0,11,223,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
19760620,en,3128,0,0,0,7,0,9,0,14,0,3,1714,2435,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0.0,0.0,1
83441816,en,3498,0,0,0,11,1,7,1,612,709,7,38275,73606,0,1,0,0,0,0,0,2,14,5,12,11,9,0,0.0,0.0,1
1307184462,en,1611,0,0,0,18,0,12,1,59,0,1,1549,2662,0,1,0,0,0,1,0,0,12,6,0,8,4,1,0.0,0.0,0
127889413,en,3298,0,0,0,17,0,6,0,107,285,6,1593,2236,0,1,0,0,0,0,0,0,28,5,0,1,0,1,-0.13,0.56,0
1461001765,en,1549,1,0,0,14,1,14,0,6,18,1,1334,1905,0,0,1,0,0,0,0,0,3,1,0,1,0,1,0.0,0.0,1
797002978028912640,en,480,0,0,0,12,0,11,0,5,97,2,115,535,0,1,1,0,0,0,0,0,12,2,0,2,0,1,0.4,0.8,1
725123249777074177,en,485,0,0,0,10,1,12,0,145,0,3,587,1046,0,1,0,0,0,0,0,0,3,7,0,4,0,1,0.0,0.0,0
628965118,en,1867,0,0,0,4,0,11,0,186,0,0,151,2780,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
2938606794,en,1608,0,0,0,11,0,8,0,436,224,5,7292,17820,0,1,0,0,0,0,0,1,2,1,1,3,0,0,0.0,0.0,0
44677908,en,3003,0,0,0,15,0,8,1,17,21,0,665,961,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
555741045,en,2583,0,0,0,9,0,8,0,271,786,0,5746,3969,0,1,1,0,0,3,0,0,13,11,0,21,1,1,0.0,0.0,1
2391736411,en,1888,0,1,0,15,1,9,0,4262,1319,404,267327,401720,0,1,0,0,0,0,0,0,28,7,0,78,6,1,-0.03,0.53,0
236303487,en,2412,0,0,0,3,0,9,0,2,7,0,1275,1863,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
267634785,en,2304,0,1,1,8,0,7,0,47,0,0,22,1437,0,0,1,0,0,0,0,0,2,0,29,0,0,0,0.0,0.0,0
121970117,en,2717,0,0,0,12,0,7,0,58,316,1,870,1289,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
2616042811,en,1141,0,0,0,2,0,13,0,28,45,1,2204,2938,0,1,1,0,0,0,0,0,1,0,0,4,0,0,0.0,0.0,1
2474803087,en,1209,0,0,0,9,0,10,0,18,179,2,1471,2160,0,1,1,0,0,0,0,0,2,0,0,2,0,1,0.43,0.83,1
55175844,en,2962,0,0,0,10,0,10,1,495,309,7,2170,12029,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
849319340818169856,en,773,0,0,0,19,0,13,0,3523,3349,93,9223,15724,0,1,1,0,0,0,0,0,24,6,0,3,0,1,0.3,0.56,0
863370324,en,1784,0,0,1,7,0,11,0,564,1553,4,3200,11413,0,1,1,0,0,0,0,0,3,0,0,1,0,1,-0.6,0.8,1
2963513912,en,1589,0,0,0,3,0,10,0,342,258,1,2730,2479,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
765940706322083842,en,318,0,0,0,11,1,11,0,15,22,0,1332,1335,0,1,1,0,0,0,0,0,3,3,0,2,0,0,0.0,0.0,1
325727817,en,2249,0,0,0,17,1,13,1,30,0,0,2446,4407,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
268066783,en,2566,0,0,0,12,0,8,0,87,1025,1,253,352,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
175758510,en,2574,0,1,0,13,0,10,1,44,0,2,2494,6131,0,1,0,0,0,0,0,0,24,13,0,2,0,1,-0.15,0.2,0
820047089627525120,en,223,0,0,0,12,1,15,0,13,0,0,1241,1793,0,1,1,0,0,0,0,0,5,3,1,1,0,1,0.6,0.95,1
771913921620013056,en,301,0,0,0,14,0,14,0,21,43,0,1332,1333,0,1,1,0,0,0,0,0,20,3,0,7,0,1,0.07,0.38,1
1023540440,en,1707,0,0,0,10,1,9,0,24,12,0,2242,3190,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
2895125889,en,1632,0,1,1,21,0,6,1,204,255,1,21062,5594,0,1,1,0,0,0,0,0,3,0,1,4,0,0,0.0,0.0,0
875139337,en,1756,0,0,0,16,1,14,0,1,125,1,2244,2266,0,0,1,0,0,0,0,0,15,4,0,1,0,1,0.33,0.33,1
824458066242334721,en,155,0,0,0,13,0,12,0,1,0,0,113,215,0,0,1,0,0,0,0,0,18,11,0,0,0,1,0.5,0.6,0
3196350180,en,910,0,0,0,7,0,5,1,4,0,1,100,967,0,1,1,0,0,0,0,0,9,1,0,1,0,1,0.0,0.0,1
562852735,en,1947,0,0,0,11,0,15,1,1680,0,105,2314,9080,0,1,0,0,0,1,0,1,18,9,0,5,0,1,0.52,0.18,1
39043863,en,3028,0,0,0,15,0,13,0,134,0,2,2459,4951,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
861627654310703105,en,72,0,0,1,8,1,15,0,1,0,0,65,397,0,0,1,0,0,0,0,0,5,3,38,0,0,0,0.0,0.0,1
131686320,en,2686,0,0,0,11,0,15,0,34,8,0,2058,2963,0,1,1,0,0,0,0,0,10,2,0,2,0,1,0.14,0.5,1
47983027,en,2984,0,0,0,11,1,13,0,7,6,0,2009,2833,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1040640698,en,2332,0,0,0,11,0,10,0,11709,177,257,14708,28928,0,1,0,0,0,0,1,0,16,6,0,6,0,1,0.0,0.07,0
772554868041089024,en,298,0,0,0,12,0,12,0,0,0,0,54,119,0,0,1,0,0,0,0,0,11,3,0,7,0,1,0.0,0.0,0
877527287096332288,en,28,0,0,1,13,1,15,0,0,0,0,34,230,0,0,1,0,0,0,0,0,18,2,94,0,0,0,0.0,0.0,1
259675587,en,2367,0,0,0,7,1,6,0,4,17,0,1508,2052,0,1,1,0,0,0,0,0,6,0,1,1,0,1,1.0,0.3,1
24005213,en,3718,0,1,0,15,0,10,1,3835,5001,1264,2440,77406,0,1,0,0,0,0,0,0,26,10,0,13,10,1,0.36,0.52,0
631154011,en,1833,0,0,0,15,0,13,0,24,0,0,38,203,0,0,0,0,0,0,0,0,30,8,0,6,1,1,0.27,0.59,0
492558482,en,2648,0,0,0,9,0,15,0,1430,3112,43,14460,26891,0,1,1,0,1,1,0,0,13,7,0,1,0,1,0.25,0.6,0
68111336,en,3554,0,0,0,9,0,11,0,129,302,1,278,3007,0,0,1,0,0,0,0,0,3,1,0,1,0,1,0.0,0.0,0
27415107,en,3070,0,1,0,13,0,10,0,30,98,1,1751,2489,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0.0,0.0,1
745105659700490240,en,813,0,0,0,1,1,9,0,14,311,0,1101,1618,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1186150369,en,1644,0,0,0,14,0,15,0,9,87,1,2313,3197,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
237857279,en,2409,0,0,0,6,0,12,0,8,22,0,2425,3443,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1634127482,en,1484,0,0,0,14,0,15,0,12,36,2,1485,2263,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
844154114,en,2109,0,0,0,10,1,9,0,49,117,6,996,1365,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
73670148,en,2903,0,0,0,10,1,11,0,155,0,3,2099,4031,0,1,0,0,0,1,0,0,10,10,0,9,0,1,0.17,0.57,1
34368049,en,3046,0,0,0,14,0,14,0,12,1,0,1203,1733,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
849377947584802819,en,52,0,0,0,7,1,15,0,0,0,0,11,141,0,1,1,0,0,0,0,0,17,3,0,2,0,1,0.11,0.28,1
1244063918,en,2264,0,0,1,8,0,13,0,107,97,0,719,204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
3191380396,en,856,0,0,0,5,0,15,0,44,0,1,198,299,0,0,1,0,0,0,0,0,17,3,0,2,0,1,0.29,0.5,0
2681753139,en,1775,0,0,0,14,1,10,0,892,2040,1,5161,5259,0,1,1,0,0,0,0,0,3,4,0,2,4,1,0.0,0.0,0
772464009547243520,en,298,0,0,0,9,1,13,0,3,0,0,38,97,0,0,1,0,0,0,0,0,23,4,0,16,0,1,-0.04,0.25,0
759208251267420161,en,1022,0,0,0,6,0,9,1,190,295,4,27222,21480,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0
2295419047,en,1947,0,0,1,5,1,15,0,1115,817,4,15223,11934,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0.0,0.0,0
739611768,en,1844,0,0,0,11,0,11,1,35,0,0,1969,2847,0,1,0,0,0,0,0,0,21,6,1,0,0,1,0.07,0.79,1
705247180454375427,en,539,0,0,0,15,0,14,0,18,140,0,1448,2075,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1026339709,en,2162,0,0,0,11,1,13,0,42,916,1,1255,1936,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
613604194,en,2510,0,0,0,10,0,6,0,93,801,3,2195,3181,0,1,0,0,0,0,0,0,22,4,0,5,0,1,0.42,0.59,0
39216705,en,3270,0,0,0,9,0,9,0,40,22,1,592,908,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
890647386124468224,en,2,0,0,1,13,1,11,0,0,0,3,178,298,0,0,1,0,0,0,0,0,3,1,10,0,0,0,0.0,0.0,0
2847798016,en,1663,0,0,0,4,0,9,1,782,363,3,76981,12390,0,1,0,0,0,0,0,0,2,0,0,7,0,0,0.0,0.0,0
2747618947,en,1469,0,0,0,2,1,6,0,9,65,1,1247,290,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
20776753,en,3726,0,0,0,8,1,13,0,41,326,1,1865,2874,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
497354038,en,2642,0,0,0,16,1,15,0,553,1476,8,8324,5428,0,1,1,0,0,0,0,0,25,8,0,9,0,1,0.0,0.0,0
158407983,en,2614,0,0,0,11,0,10,0,1,4,0,1333,2002,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0.0,0.0,1
372094705,en,2184,0,0,0,15,1,9,0,21,170,1,2028,2735,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
1413803882,en,1898,0,1,0,7,0,9,0,274,249,2,3617,6548,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
702135300,en,2275,0,0,0,14,1,7,0,202,227,6,3138,1461,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
1666338205,en,1473,0,0,0,14,0,13,0,16,0,0,1815,2641,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
75489677,en,3513,0,0,0,15,0,7,0,24,50,0,1151,1847,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
103462810,en,3390,0,0,0,13,0,13,0,9,48,0,955,1364,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
876340710622081024,en,32,0,0,1,8,1,11,0,0,0,0,41,203,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
298901356,en,2919,0,1,1,22,0,11,0,604,934,16,12458,50781,0,1,0,0,0,8,0,0,10,11,1,18,3,1,0.0,0.0,1
593813785,en,2544,0,0,0,11,0,12,1,8065,2052,518,13333,108272,0,1,0,0,0,0,0,0,20,9,0,9,0,1,0.0,0.0,0
24459979,en,3714,0,0,0,4,0,6,0,286,407,14,5411,4403,0,1,0,0,0,1,0,0,6,3,0,0,0,1,0.0,0.0,0
263265254,en,2991,0,1,0,11,0,11,0,143,518,8,7381,5458,0,1,0,0,0,1,0,0,4,3,0,5,0,1,0.2,0.3,0
797528732,en,1811,0,0,0,19,0,13,0,4,18,0,1613,2305,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
3382533700,en,966,0,0,0,14,0,13,0,11,67,1,2154,3104,0,1,1,0,0,0,0,0,11,2,0,4,0,1,0.0,0.0,1
29157032,en,3692,0,0,0,11,0,7,0,251,1003,22,2912,14595,0,0,1,0,0,0,0,0,4,0,0,8,0,1,0.17,0.17,0
4858644489,en,574,0,0,0,6,1,9,0,12,0,2,2485,3570,0,0,1,0,0,0,0,0,8,1,0,2,0,1,0.5,1.0,1
623399734,en,1880,0,0,0,17,0,9,1,31,0,1,2595,5693,0,1,0,0,0,0,0,0,3,2,0,3,0,0,0.0,0.0,1
778342295942955009,en,350,0,0,0,18,0,15,0,2,0,0,390,792,0,0,1,0,0,0,0,0,19,1,0,2,0,1,0.57,0.7,0
866768237593276416,en,55,0,0,0,13,0,13,0,0,0,0,147,249,0,0,1,0,0,0,0,0,30,3,5,2,0,0,0.0,0.0,0
702748701844897792,en,1178,0,0,0,3,0,9,0,375,343,4,38690,14701,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0
261917974,en,2993,0,0,0,10,0,10,0,836,399,1,36569,5636,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0.5,1.0,0
62661530,en,2943,0,0,0,20,0,10,0,25,48,0,2153,2952,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1
711465529,en,1859,0,0,0,15,0,14,0,20,0,2,2671,4304,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0.35,0.65,1
1606042376,en,1497,0,0,0,9,0,9,0,149,0,0,2072,5384,0,1,1,0,0,0,0,0,17,5,13,6,0,1,0.0,0.0,0
38417328,en,3662,0,0,0,10,0,9,1,1173,3219,127,3197,17042,0,1,0,0,0,3,0,2,20,7,0,15,0,1,0.12,0.35,0
151554543,en,3267,0,0,0,13,0,15,0,5,6,0,2194,1508,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0.0,0.07,1
